"lon","lat","RECT","cat","N","S","E","W"
-9.5,43.625,"Q6",1,43.75,43.5,-9,-10
-9.5,43.875,"Q5",1,44,43.75,-9,-10
-9.5,44.125,"Q4",1,44.25,44,-9,-10
-9.5,44.375,"Q3",1,44.5,44.25,-9,-10
-9.5,44.625,"Q2",1,44.75,44.5,-9,-10
-9.5,44.875,"Q1",1,45,44.75,-9,-10
-8.5,43.375,"R7",1,43.5,43.25,-8,-9
-8.5,43.625,"R6",1,43.75,43.5,-8,-9
-8.5,43.875,"R5",1,44,43.75,-8,-9
-8.5,44.125,"R4",1,44.25,44,-8,-9
-8.5,44.375,"R3",1,44.5,44.25,-8,-9
-8.5,44.625,"R2",1,44.75,44.5,-8,-9
-8.5,44.875,"R1",1,45,44.75,-8,-9
-7.5,43.625,"S6",1,43.75,43.5,-7,-8
-7.5,43.875,"S5",1,44,43.75,-7,-8
-7.5,44.125,"S4",1,44.25,44,-7,-8
-7.5,44.375,"S3",1,44.5,44.25,-7,-8
-7.5,44.625,"S2",1,44.75,44.5,-7,-8
-7.5,44.875,"S1",1,45,44.75,-7,-8
-6.5,43.625,"T6",1,43.75,43.5,-6,-7
-6.5,43.875,"T5",1,44,43.75,-6,-7
-6.5,44.125,"T4",1,44.25,44,-6,-7
-6.5,44.375,"T3",1,44.5,44.25,-6,-7
-6.5,44.625,"T2",1,44.75,44.5,-6,-7
-6.5,44.875,"T1",1,45,44.75,-6,-7
-5.5,43.625,"V6",1,43.75,43.5,-5,-6
-5.5,43.875,"V5",1,44,43.75,-5,-6
-5.5,44.125,"V4",1,44.25,44,-5,-6
-5.5,44.375,"V3",1,44.5,44.25,-5,-6
-5.5,44.625,"V2",1,44.75,44.5,-5,-6
-5.5,44.875,"V1",1,45,44.75,-5,-6
-4.5,43.375,"W7",1,43.5,43.25,-4,-5
-4.5,43.625,"W6",1,43.75,43.5,-4,-5
-4.5,43.875,"W5",1,44,43.75,-4,-5
-4.5,44.125,"W4",1,44.25,44,-4,-5
-4.5,44.375,"W3",1,44.5,44.25,-4,-5
-3.5,43.375,"X7",1,43.5,43.25,-3,-4
-3.5,43.625,"X6",1,43.75,43.5,-3,-4
-3.5,43.875,"X5",1,44,43.75,-3,-4
-3.5,44.125,"X4",1,44.25,44,-3,-4
-3.5,44.375,"X3",1,44.5,44.25,-3,-4
-2.5,43.375,"Y7",1,43.5,43.25,-2,-3
-2.5,43.625,"Y6",1,43.75,43.5,-2,-3
-2.5,43.875,"Y5",1,44,43.75,-2,-3
-1.5,43.375,"Z7",1,43.5,43.25,-1,-2
-1.5,43.625,"Z6",1,43.75,43.5,-1,-2
-1.5,43.875,"Z5",1,44,43.75,-1,-2
